緯度(Latitude),經度(Longitude),地標分類
22.992012,120.221439,人行道起點
22.992014,120.221497,人行道起點
22.992023,120.221544,路口
22.992075,120.2215,人行道起點
22.992089,120.221437,人行道起點
22.992114,120.220313,路口
22.99214,120.22034,人行道起點
22.992147,120.219978,路口
22.992157,120.220288,人行道起點
22.992195,120.219446,路口
22.992328,120.217796,人行道起點
22.992372,120.217836,路口
22.992385,120.217878,人行道起點
22.992387,120.217797,人行道起點
22.99254,120.220357,路口
22.99255,120.22002,路口
22.99279,120.221393,路口
22.992803,120.221589,路口
22.992809,120.221174,路口
22.993037,120.220071,路口
22.993372,120.217987,人行道起點
22.993395,120.217878,人行道起點
22.993518,120.218008,人行道起點
22.993561,120.21786,人行道起點
22.993578,120.220118,路口
22.993629,120.219916,路口
22.993729,120.221368,路口
22.993742,120.221701,路口
22.993764,120.220948,路口
22.993782,120.221394,路口
22.993786,120.218337,路口
22.993826,120.219968,路口
22.993894,120.219048,路口
22.993921,120.218366,路口
22.993923,120.218691,路口
22.994091,120.219977,路口
22.994135,120.219379,路口
22.994184,120.219052,路口
22.994249,120.218718,路口
22.994363,120.223743,路口
22.994413,120.219989,路口
22.994475,120.222063,路口
22.994484,120.21937,路口
22.994662,120.219985,路口
22.994696,120.219445,路口
22.994856,120.22036,路口
22.994928,120.221962,路口
22.994988,120.223787,路口
22.995042,120.218776,路口
22.995062,120.221917,人行道起點
22.995063,120.222626,路口
22.995088,120.21808,路口
22.995096,120.221262,路口
22.995103,120.222012,路口
22.995111,120.221907,人行道起點
22.995112,120.221723,人行道起點
22.995117,120.221829,路口
22.995128,120.221745,人行道起點
22.995188,120.221825,路口
22.995204,120.219869,路口
22.995287,120.219866,路口
22.995297,120.219824,路口
22.995383,120.221212,路口
22.995482,120.221858,路口
22.995593,120.220024,路口
22.995607,120.219842,路口
22.995613,120.223624,路口
22.995621,120.218127,路口
22.99563,120.21975,路口
22.995687,120.223819,路口
22.995688,120.220028,路口
22.995742,120.222772,路口
22.995795,120.224067,人行道起點
22.995805,120.219607,路口
22.99581,120.223989,人行道起點
22.995866,120.224074,人行道起點
22.995872,120.223995,人行道起點
22.995875,120.222702,人行道起點
22.995889,120.218155,人行道起點
22.995893,120.218096,人行道起點
22.995895,120.21954,路口
22.995914,120.223953,人行道起點
22.995924,120.222765,路口
22.995958,120.22197,人行道起點
22.995963,120.221836,人行道起點
22.995978,120.222719,人行道起點
22.995982,120.221905,路口
22.995987,120.221904,路口
22.995998,120.221977,人行道起點
22.996014,120.221834,人行道起點
22.996021,120.218728,路口
22.996032,120.220998,路口
22.996035,120.218971,路口
22.996038,120.220802,路口
22.996049,120.220441,人行道起點
22.996055,120.223859,路口
22.996066,120.223196,路口
22.996072,120.22,人行道起點
22.996078,120.220165,人行道起點
22.996087,120.22002,人行道起點
22.996087,120.220407,路口
22.996112,120.220052,路口
22.996126,120.219598,人行道起點
22.996127,120.220442,人行道起點
22.996134,120.22017,人行道起點
22.996137,120.219498,人行道起點
22.99614,120.220029,人行道起點
22.996157,120.219533,路口
22.996158,120.220008,人行道起點
22.996161,120.223195,路口
22.996166,120.219539,路口
22.996183,120.219498,人行道起點
22.996186,120.2196,人行道起點
22.996189,120.218983,路口
22.996196,120.218992,路口
22.996212,120.218251,人行道起點
22.996214,120.218195,人行道起點
22.996221,120.21809,人行道起點
22.996222,120.218675,路口
22.996226,120.218126,人行道起點
22.996238,120.218161,路口
22.996244,120.222812,路口
22.996254,120.21816,路口
22.996274,120.218192,人行道起點
22.996281,120.218255,人行道起點
22.996281,120.218129,人行道起點
22.996297,120.218105,人行道起點
22.996316,120.218223,人行道起點
22.996324,120.218121,人行道起點
22.996454,120.216653,人行道起點
22.996461,120.220164,路口
22.996467,120.222694,路口
22.996473,120.216678,路口
22.996487,120.216702,人行道起點
22.996524,120.222162,路口
22.99658,120.218955,路口
22.996613,120.215667,路口
22.996725,120.214885,路口
22.996739,120.22185,人行道起點
22.996819,120.213705,人行道起點
22.996819,120.213646,人行道起點
22.996825,120.213584,人行道起點
22.996831,120.220197,路口
22.996873,120.213634,路口
22.996889,120.221826,人行道起點
22.996896,120.213709,人行道起點
22.996908,120.213663,人行道起點
22.996929,120.218949,路口
22.997068,120.218227,路口
22.997104,120.217981,路口
22.997285,120.21682,路口
22.997339,120.221975,路口
22.997488,120.224119,人行道起點
22.997572,120.220269,路口
22.997572,120.215261,路口
22.998078,120.222891,路口
22.998101,120.216949,路口
22.998114,120.222044,路口
22.998156,120.222268,路口
22.998156,120.222268,路口
22.998177,120.222901,路口
22.998205,120.222269,路口
22.998237,120.223365,路口
22.998247,120.220333,路口
22.998268,120.216013,路口
22.998291,120.222939,路口
22.998292,120.222175,人行道起點
22.998295,120.222018,人行道起點
22.998323,120.222035,人行道起點
22.998336,120.222291,路口
22.998355,120.22034,路口
22.998402,120.215387,路口
22.998409,120.218312,人行道起點
22.998409,120.218368,人行道起點
22.998433,120.219028,路口
22.998445,120.224301,人行道起點
22.998451,120.218342,路口
22.998453,120.224255,人行道起點
22.998453,120.218341,路口
22.998466,120.21832,人行道起點
22.998466,120.218366,人行道起點
22.998471,120.215201,路口
22.998471,120.218083,路口
22.998488,120.224303,人行道起點
22.998489,120.217875,路口
22.998493,120.224255,人行道起點
22.998577,120.214861,路口
22.998616,120.217045,路口
22.998616,120.21522,路口
22.998711,120.214239,路口
22.998734,120.216491,路口
22.998903,120.220402,路口
22.998948,120.215436,路口
22.999036,120.217959,路口
22.999085,120.215428,路口
22.99909,120.214549,路口
22.999103,120.215293,路口
22.999106,120.214428,路口
22.999122,120.214289,路口
22.999334,120.215358,路口
22.999355,120.216631,路口
22.99937,120.219055,路口
22.999407,120.218451,人行道起點
22.999415,120.218352,人行道起點
22.999502,120.214649,路口
22.999536,120.214428,路口
22.999558,120.217927,路口
22.999577,120.222199,路口
22.999597,120.218377,路口
22.999598,120.215409,路口
22.999615,120.220449,路口
22.999624,120.22194,路口
22.999715,120.217591,路口
22.999825,120.216753,路口
22.9999,120.215422,路口
22.999987,120.21557,路口
22.999998,120.222996,路口
23,120.217861,人行道起點
23.00001,120.22248,路口
23.000029,120.215358,路口
23.000086,120.21547,路口
23.000141,120.214722,路口
23.000209,120.221992,路口
23.000278,120.220427,人行道起點
23.0003,120.220508,路口
23.000319,120.220433,人行道起點
23.00038,120.224705,人行道起點
23.000381,120.224429,人行道起點
23.000392,120.215504,路口
23.000405,120.21773,路口
23.000497,120.21916,路口
23.000581,120.216912,路口
23.000591,120.222394,人行道起點
23.00061,120.222195,人行道起點
23.00062,120.22235,人行道起點
23.000636,120.22473,人行道起點
23.000651,120.224459,人行道起點
23.000697,120.222286,路口
23.000706,120.222286,路口
23.000721,120.220494,人行道起點
23.000732,120.220588,人行道起點
23.000736,120.218597,人行道起點
23.000743,120.218473,人行道起點
23.000785,120.215595,路口
23.000789,120.22238,人行道起點
23.000825,120.222196,人行道起點
23.000827,120.220551,路口
23.000833,120.218625,人行道起點
23.000856,120.218451,人行道起點
23.00093,120.220608,人行道起點
23.000939,120.220509,人行道起點
23.000941,120.218558,路口
23.000996,120.217082,人行道起點
23.001022,120.216921,人行道起點
23.00103,120.218649,人行道起點
23.001048,120.218458,人行道起點
23.001065,120.218624,人行道起點
23.001076,120.2185,人行道起點
23.001097,120.217029,路口
23.001158,120.21711,人行道起點
23.001168,120.217102,人行道起點
23.00118,120.216957,人行道起點
23.00119,120.216982,人行道起點
23.001236,120.214627,人行道起點
23.00126,120.214515,人行道起點
23.001283,120.214686,人行道起點
23.001337,120.214507,人行道起點
23.001388,120.214607,路口
23.001514,120.214734,人行道起點
23.001546,120.214692,人行道起點
23.001577,120.214573,人行道起點
23.001587,120.214604,人行道起點
